Date,HIGHWAY,SECTION,SECTION LENGTH,ADT,AADT
2019-09-09,1,47,4.5,2.566,2.43
2019-06-17,1,50,7.6,4.266,3.84
2019-06-17,1,50,7.6,3.934,3.545
2019-06-17,1,50,7.6,2.924,2.64
2019-09-09,1,50,7.6,6.164,5.52
2019-06-17,1,50,7.6,2.984,2.69
2019-09-16,1,60,4.61,4.351,3.88
2019-09-09,1,65,9.75,2.074,1.78
2019-09-09,1,70,3.67,4.079,3.65
2019-09-09,1,80,8.96,2.233,2.0
2019-08-15,1,95,1.16,6.803,5.88
2019-08-15,1,100,8.75,3.874,3.35
2019-08-15,1,100,8.75,3.731,3.23
2019-08-15,1,100,8.75,1.254,1.08
2019-08-15,1,100,8.75,1.739,1.5
2019-08-15,1,100,8.75,1.238,1.07
2019-10-21,2,30,2.55,5.047,4.86
2019-10-28,2,40,6.88,15.445,15.5
2019-07-10,2,50,10.16,5.088,3.92
2019-07-10,2,60,5.98,10.808,9.59
2019-07-10,2,70,2.86,9.259,7.81
2019-07-10,2,80,8.84,1.513,1.28
2019-07-10,2,80,8.84,1.623,1.37
2019-07-10,2,83,5.1,4.169,3.52
2019-05-01,2,85,3.91,3.501,3.75
2019-05-01,2,90,5.77,1.944,2.08
2019-05-01,2,95,7.03,1.377,1.48
2019-05-01,2,95,7.03,1.346,1.44
2019-05-01,2,100,8.32,5.146,5.22
2019-05-01,2,115,0.89,20.146,19.5
2019-05-01,2,120,3.91,4.891,4.96
2019-05-01,2,130,10.75,1.939,1.97
2019-05-01,2,140,7.84,4.087,4.38
2019-05-01,2,145,9.18,2.176,2.59
2019-05-08,2,147,6.21,731.0,760.0
2019-05-08,2,147,6.21,742.0,770.0
2019-05-08,2,150,10.37,1.039,1.08
2019-05-08,2,155,7.53,440.0,490.0
2019-05-08,2,155,7.53,448.0,500.0
2019-05-08,2,157,5.8,920.0,1.03
2019-05-08,2,160,9.7,820.0,830.0
2019-05-08,2,162,12.25,371.0,370.0
2019-05-08,2,162,12.25,365.0,370.0
2019-05-15,2,170,12.64,1.313,1.3
2019-05-27,2,175,10.89,1.172,1.1
2019-06-03,2,180,9.02,660.0,620.0
2019-06-03,2,190,7.57,1.219,1.14
2019-06-12,2,200,8.28,2.321,2.19
2019-06-12,2,210,9.77,1.948,1.84
2019-06-25,2,240,3.0,3.852,3.58
2019-06-25,2,250,0.56,2.602,2.27
2019-10-24,3,5,4.05,11.019,10.6
2019-10-24,3,5,4.05,11.754,11.3
2019-08-20,3,15,6.62,4.881,4.87
2019-08-20,3,20,8.72,5.093,3.93
2019-09-16,3,30,10.83,5.026,4.48
2019-09-16,3,40,7.83,1.357,1.21
2019-09-16,3,40,7.83,1.387,1.23
2019-09-16,3,45,3.77,2.714,2.42
2019-07-22,3,230,8.91,673.0,500.0
2019-07-22,3,230,8.91,666.0,490.0
2019-05-29,4,2,6.38,1.277,1.2
